Num,Name,year,month,day,MA,perih,node,i,e,a,H0,G,Dia,DiaSrc,PEU/POS_1sigma,#Rings,#Moons,OrbSrc,OrbDate,Class,DiaUncert,ErrorMajor,ErrorMinor,ErrorMajorPA
22,Kalliope,2025,2,11,254.6290318776,358.0803603617,65.9732271178,13.7017101815,0.098927570432,2.910234056129,6.80,0.21,159.0,M,0.0027,0,1,JPL#130,2024-Dec-12,Binary,9.0,0.00253,0.00077,78.3
31,Euphrosyne,2025,2,11,98.3423882118,61.9018385240,30.8010975744,26.3175613994,0.216020253885,3.160779298322,6.86,0.15,271.6,M,0.0030,0,1,JPL#125,2024-Oct-12,Binary,13.8,0.00265,0.00123,134.0
41,Daphne,2025,2,11,228.1493300673,46.6132098021,177.8002548587,15.7247098220,0.271085326411,2.769799382007,7.61,0.10,186.1,M,0.0013,0,1,JPL#158,2024-Dec-12,Binary,10.8,0.00127,0.00065,86.8
45,Eugenia,2025,2,11,144.3408337525,87.3102107193,147.5828735325,6.6056729798,0.082905171732,2.719747126559,7.78,0.07,200.2,M,0.0020,0,2,JPL#139,2024-Dec-12,Binary,10.0,0.00197,0.00063,72.2
53,Kalypso,2025,2,11,195.3710598778,314.3298535414,143.4362128977,5.1811325800,0.202899222455,2.619076515272,8.92,0.15,105.7,M,0.0017,0,0,JPL#195,2024-Dec-12,Binary,5.4,0.00167,0.00044,86.3
87,Sylvia,2025,2,11,53.0482415886,264.8061492376,73.0102811040,10.8802265581,0.094040937863,3.478440673016,6.95,0.15,259.3,M,0.0033,0,2,JPL#120,2024-Dec-12,Binary,13.4,0.00331,0.00041,61.1
90,Antiope,2025,2,11,158.9348335639,244.4146306304,69.9099541516,2.2057312180,0.171566807862,3.143632240110,8.44,0.15,120.1,M,0.0027,0,1,JPL#134,2024-Dec-12,Binary,7.2,0.00254,0.00055,95.1
93,Minerva,2025,2,11,212.0878788282,275.8518316783,3.8248970834,8.5380094324,0.142521693287,2.753857695582,7.90,0.15,149.5,M,0.0033,0,2,JPL#142,2024-Dec-12,Binary,7.0,0.00321,0.00075,103.6
107,Camilla,2025,2,11,288.8188540026,304.6291782785,172.5758860281,10.0022104924,0.065639907500,3.488122287174,7.11,0.08,208.2,M,0.0033,0,2,JPL#139,2024-Dec-12,Binary,12.6,0.00333,0.00051,77.4
121,Hermione,2025,2,11,184.5208199416,297.0709149275,72.8720754110,7.5667651913,0.124991027802,3.455857152389,7.44,0.15,185.3,M,0.0027,0,1,JPL#139,2024-Dec-14,Binary,9.6,0.00273,0.00063,114.4
130,Elektra,2025,2,11,322.9517409061,237.8957494529,144.9714132743,22.7827431985,0.209549059017,3.124408534793,7.47,0.15,180.2,M,0.0027,0,3,JPL#144,2024-Dec-12,Binary,9.4,0.00265,0.00043,92.5
203,Pompeja,2025,2,11,2.9050968185,60.2531475082,347.6848178428,3.1712182687,0.060286049863,2.737349091927,8.94,0.15,117.6,M,0.0023,0,0,JPL#141,2024-Dec-12,Binary,6.8,0.00235,0.00033,66.5
216,Kleopatra,2025,2,11,157.9780641630,179.7713875164,215.3171312863,13.1199102304,0.250623765629,2.794291738509,7.09,0.29,125.3,M,0.0020,0,2,JPL#149,2024-Dec-12,Binary,7.0,0.00179,0.00092,94.6
217,Eudora,2025,2,11,262.3870194589,155.1091757826,162.5732768818,10.5198226548,0.309720389368,2.867552120207,9.92,0.15,65.5,M,0.0017,0,0,JPL#70,2024-Dec-14,Binary,3.8,0.00170,0.00020,103.7
